City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,balpyk bi,44.8947,78.2083,18.63,44,99,1.47,KZ,1724889496
203,sorong,-0.8833,131.25,26.3,87,70,5.35,ID,1724889497
204,ola,59.5833,151.2833,11.49,49,60,2.56,RU,1724889498
205,kalmunai,7.4167,81.8167,26.99,76,100,1.51,LK,1724889501
206,afaahiti,-17.75,-149.2833,24.32,87,33,5.64,PF,1724889502
207,karratha,-20.7377,116.8463,25.01,23,20,5.25,AU,1724889503
208,udachny,66.4167,112.4,9.71,60,98,0.97,RU,1724889504
209,korla,41.7597,86.1469,27.78,32,62,6.87,CN,1724889505
210,weno,7.4515,151.8468,26.49,87,95,9.03,FM,1724889506
211,tam ky,15.5667,108.4833,28.13,67,29,1.48,VN,1724889508
212,oshakati,-17.7833,15.6833,19.36,16,2,3.34,NA,1724889510
213,mili,6.0815,171.735,29.17,73,42,5.3,MH,1724889511
214,happy valley-goose bay,53.3168,-60.3315,15.17,58,75,8.23,CA,1724889512
215,arica,-18.475,-70.3042,16.13,72,100,3.09,CL,1724889236
216,saint-philippe,-21.3585,55.7679,20.48,73,36,7.5,RE,1724889515
217,vianopolis,-16.7419,-48.5164,22.57,40,2,4.15,BR,1724889516
218,pithapuram,17.1167,82.2667,24.88,91,100,1.93,IN,1724889517
219,emerald,-23.5333,148.1667,23.52,67,0,1.84,AU,1724889519
220,tosontsengel,48.7567,98.2839,11.02,53,42,0.71,MN,1724889520
221,olyokminsk,60.3736,120.4264,11.33,72,96,2.14,RU,1724889521
222,minas de marcona,-15.2119,-75.1103,11.89,79,21,4.82,PE,1724889522
223,porto novo,6.4965,2.6036,24.9,93,97,2.41,BJ,1724889523
224,ruteng,-8.6136,120.4721,21.97,53,79,0.68,ID,1724889524
225,pitimbu,-7.4706,-34.8086,23.75,82,54,6.4,BR,1724889525
226,ust-tsilma,65.441,52.1498,9.63,79,37,3.27,RU,1724889526
227,ugoofaaru,5.6667,73.0,27.97,78,100,4.35,MV,1724889527
228,masterton,-40.9597,175.6575,15.0,83,100,6.19,NZ,1724889529
229,kapuskasing,49.4169,-82.4331,16.05,55,20,3.09,CA,1724889530
230,barra de santo antonio,-9.4047,-35.5072,24.0,80,54,7.37,BR,1724889531
231,merizo village,13.2658,144.6691,29.43,90,96,6.36,GU,1724889532
232,chui,-33.6971,-53.4616,9.63,86,72,3.21,UY,1724889533
233,sipalay,9.75,122.5,27.33,82,100,2.37,PH,1724889534
234,inverell,-29.7833,151.1167,20.64,47,0,0.89,AU,1724889535
235,fada,7.25,4.0667,24.37,94,75,4.12,NG,1724889536
236,salekhard,66.53,66.6019,9.72,81,88,5.36,RU,1724889538
237,vernon,50.2581,-119.2691,23.29,36,61,1.79,CA,1724889539
238,iquique,-20.2208,-70.1431,15.27,76,76,1.78,CL,1724889415
239,palu,-0.8917,119.8707,26.79,89,75,0.36,ID,1724889541
240,tsiombe,-25.3,45.4833,19.93,63,0,2.02,MG,1724889542
241,sitka,57.0531,-135.33,14.94,88,75,5.14,US,1724889543
242,tahla,34.0485,-4.428,23.17,69,100,1.23,MA,1724889544
243,okhotsk,59.3833,143.3,14.1,84,93,11.11,RU,1724889545
244,guihulngan,10.1214,123.2742,28.42,74,100,2.58,PH,1724889546
245,berrotaran,-32.451,-64.3887,10.35,53,48,1.94,AR,1724889548
246,yeniseysk,58.4497,92.1703,11.01,97,68,1.18,RU,1724889549
247,hithadhoo,-0.6,73.0833,28.28,76,93,4.51,MV,1724889550
248,codrington,-38.2667,141.9667,12.43,73,69,6.36,AU,1724889551
249,horsham,51.064,-0.3272,17.69,80,0,2.57,GB,1724889212
250,carbonear,47.7332,-53.2148,20.08,89,99,6.68,CA,1724889553
251,lorengau,-2.0226,147.2712,28.97,78,86,5.16,PG,1724889554
252,jora,26.3333,77.8167,25.94,83,98,2.26,IN,1724889555
253,kavieng,-2.5744,150.7967,29.24,70,31,4.35,PG,1724889557
254,lata,40.1629,-8.3327,15.48,99,80,1.27,PT,1724889558
255,geraldton,-28.7667,114.6,20.23,83,100,6.17,AU,1724889494
256,belmonte,-15.8631,-38.8828,23.12,72,99,6.29,BR,1724889560
257,beloyarskiy,63.7119,66.6722,12.06,91,100,2.43,RU,1724889561
258,san pedro pochutla,15.7333,-96.4667,25.95,75,56,1.83,MX,1724889562
259,crane,31.3974,-102.3501,30.02,43,58,11.03,US,1724889563
260,altai,46.3722,96.2583,13.57,48,11,0.76,MN,1724889564
261,nampula,-15.1165,39.2666,21.97,88,75,4.12,MZ,1724889565
262,santyoku,37.4406,129.1708,23.75,89,99,3.53,KR,1724889567
263,saint-denis,48.9167,2.3333,22.27,67,0,2.57,FR,1724889568
264,marovoay,-16.1,46.6333,21.62,59,2,4.95,MG,1724889569
265,sete,43.4018,3.6966,22.19,82,1,2.44,FR,1724889570
266,gizo,-8.103,156.8419,27.77,79,36,8.59,SB,1724889571
